year,GEOID,NAME,B25001_001E,B25002_003E,B25032_001E,B25032_013E,B25008_003E,B25119_003E,B25037_003E,B25039_003E,B25064_001E,B25071_001E,B25013_011E,B25003H_003E,B25003B_003E,B25003D_003E,B25003I_003E,B17017_001E,B17017_002E
2018,36047037401,"Census Tract 374.01, Kings County, New York",2019,170,1849,1256,2701,40946,1956,2008,1443,37.6,699,969,89,81,94,1849,374
2019,36047037401,"Census Tract 374.01, Kings County, New York",2049,168,1881,1307,2842,44538,1955,2009,1523,35.6,718,997,143,71,64,1881,385
2020,36047037401,"Census Tract 374.01, Kings County, New York",2040,182,1858,1179,2512,42734,1954,2011,1557,36.9,613,834,176,56,67,1858,446
2012,36047037402,"Census Tract 374.02, Kings County, New York",2004,0,2004,1612,3185,28129,1954,2000,928,36.5,581,1533,9,48,22,2004,269
2013,36047037402,"Census Tract 374.02, Kings County, New York",1993,43,1950,1716,3290,22455,1953,2001,896,37.1,702,1617,24,47,28,1950,474
2014,36047037402,"Census Tract 374.02, Kings County, New York",2084,86,1998,1787,3798,23268,1952,2003,921,36.6,827,1531,41,90,142,1998,588
2015,36047037402,"Census Tract 374.02, Kings County, New York",2105,91,2014,1829,4201,28384,1951,2006,1033,36.1,1011,1476,81,107,181,2014,543
2016,36047037402,"Census Tract 374.02, Kings County, New York",2160,101,2059,1773,4004,27898,1951,2008,1128,35.5,946,1360,73,110,245,2059,559
2017,36047037402,"Census Tract 374.02, Kings County, New York",2192,121,2071,1737,3657,24867,1952,2008,1195,37.8,891,1308,82,101,260,2071,632
2018,36047037402,"Census Tract 374.02, Kings County, New York",2271,145,2126,1719,3817,29511,1952,2011,1224,41.8,736,1092,157,104,321,2126,514
2019,36047037402,"Census Tract 374.02, Kings County, New York",2279,158,2121,1818,3972,25833,1954,2011,1398,48.4,830,1174,136,187,263,2121,462
2020,36047037402,"Census Tract 374.02, Kings County, New York",2179,152,2027,1629,3533,30009,1954,2010,1478,48.6,733,1074,82,172,243,2027,519
2012,36047037500,"Census Tract 375, Kings County, New York",1170,194,976,738,2195,31908,1939,2004,1183,36,62,30,581,0,148,976,163
2013,36047037500,"Census Tract 375, Kings County, New York",1215,202,1013,804,2300,34609,1939,2005,1170,34.1,65,27,679,0,115,1013,140
2014,36047037500,"Census Tract 375, Kings County, New York",1253,170,1083,925,2744,42974,1939,2004,1213,35,53,24,700,13,200,1083,223
2015,36047037500,"Census Tract 375, Kings County, New York",1334,197,1137,984,2695,44000,1939,2006,1304,33.8,170,109,658,73,239,1137,245
2016,36047037500,"Census Tract 375, Kings County, New York",1339,195,1144,995,2678,42781,1952,2010,1406,37.5,204,119,634,105,209,1144,220
2017,36047037500,"Census Tract 375, Kings County, New York",1336,194,1142,1012,2591,32331,1952,2010,1564,39.9,232,109,608,109,235,1142,254
2018,36047037500,"Census Tract 375, Kings County, New York",1438,125,1313,1089,2574,46287,0,2011,1566,37.5,315,136,584,82,304,1313,265
2019,36047037500,"Census Tract 375, Kings County, New York",1499,148,1351,1139,2627,47168,1948,2013,1499,34.9,366,166,630,79,269,1351,213
2020,36047037500,"Census Tract 375, Kings County, New York",1517,124,1393,1121,2457,54770,0,2013,1491,32.1,389,142,604,49,309,1393,143
2012,36047037700,"Census Tract 377, Kings County, New York",1778,212,1566,1050,2306,39353,1939,2003,1189,35.4,269,97,792,36,128,1566,282
2013,36047037700,"Census Tract 377, Kings County, New York",1716,219,1497,1015,2348,38877,1939,2005,1293,37.6,259,109,773,32,103,1497,292
2014,36047037700,"Census Tract 377, Kings County, New York",1729,219,1510,1014,2421,38125,1939,2006,1324,45,316,137,744,32,119,1510,282
2015,36047037700,"Census Tract 377, Kings County, New York",1743,215,1528,993,2509,31250,1939,2008,1402,50,256,143,677,0,210,1528,355
2016,36047037700,"Census Tract 377, Kings County, New York",1789,226,1563,1017,2371,30916,1939,2010,1332,50,299,95,766,9,195,1563,401
2017,36047037700,"Census Tract 377, Kings County, New York",1800,197,1603,978,2314,31204,1939,2011,1399,48,310,89,729,10,136,1603,459
2018,36047037700,"Census Tract 377, Kings County, New York",1888,176,1712,1082,2435,31346,0,2011,1342,48.7,361,102,803,3,173,1712,426
2019,36047037700,"Census Tract 377, Kings County, New York",1888,179,1709,1055,2337,35054,0,2013,1457,47.6,382,119,762,18,143,1709,458
2020,36047037700,"Census Tract 377, Kings County, New York",1978,120,1858,1204,2503,49900,0,2016,1493,41.2,464,180,892,23,105,1858,347
2012,36047037900,"Census Tract 379, Kings County, New York",1656,210,1446,968,2446,31695,1965,2005,1237,38,210,49,830,0,150,1446,366
2013,36047037900,"Census Tract 379, Kings County, New York",1629,255,1374,912,2273,32700,1960,2005,1228,35.5,177,68,807,0,93,1374,360
2014,36047037900,"Census Tract 379, Kings County, New York",1653,305,1348,947,2187,31440,1961,2006,1217,37.7,159,42,840,0,73,1348,360
2015,36047037900,"Census Tract 379, Kings County, New York",1664,273,1391,983,2338,30876,1948,2009,1145,35.2,126,81,780,0,138,1391,416
2016,36047037900,"Census Tract 379, Kings County, New York",1645,221,1424,982,2324,31422,1939,2009,1180,40.8,169,80,795,0,106,1424,429
2017,36047037900,"Census Tract 379, Kings County, New York",1659,182,1477,1014,2245,32105,1939,2011,1154,32.6,222,87,776,22,116,1477,396
2018,36047037900,"Census Tract 379, Kings County, New York",1653,107,1546,1008,2291,32197,0,2011,1234,39.9,262,96,774,20,94,1546,410
2019,36047037900,"Census Tract 379, Kings County, New York",1737,51,1686,1083,2682,39157,0,2012,1296,29.4,265,114,824,17,81,1686,316
2020,36047037900,"Census Tract 379, Kings County, New York",1656,42,1614,1058,2809,38094,0,2010,1348,28.2,280,102,822,16,48,1614,355
2012,36047038100,"Census Tract 381, Kings County, New York",2115,265,1850,1550,3660,23008,1950,2002,615,28.2,252,31,1330,0,213,1850,642
2013,36047038100,"Census Tract 381, Kings County, New York",2116,282,1834,1535,3991,21868,1952,2003,581,28.7,236,38,1290,0,194,1834,732
2014,36047038100,"Census Tract 381, Kings County, New York",2148,301,1847,1510,4100,22143,1951,2005,615,28.9,223,62,1237,0,203,1847,685
2015,36047038100,"Census Tract 381, Kings County, New York",2195,213,1982,1586,4112,23990,1952,2006,671,28.6,225,66,1311,0,195,1982,667
2016,36047038100,"Census Tract 381, Kings County, New York",2191,248,1943,1536,3961,23045,1951,2006,663,31.2,206,86,1289,0,180,1943,633
2017,36047038100,"Census Tract 381, Kings County, New York",2258,196,2062,1594,4020,26884,1951,2006,689,28.4,270,99,1269,0,241,2062,592
2018,36047038100,"Census Tract 381, Kings County, New York",2269,133,2136,1708,3921,28636,1945,2007,841,28.8,411,123,1363,8,209,2136,546
2019,36047038100,"Census Tract 381, Kings County, New York",2331,77,2254,1823,4024,37697,1952,2005,940,28.9,438,129,1476,9,259,2254,574
2020,36047038100,"Census Tract 381, Kings County, New York",2440,61,2379,1941,4022,39347,1953,2007,1063,26,542,172,1531,8,348,2379,551
2012,36047038200,"Census Tract 382, Kings County, New York",2205,107,2098,1923,5039,16687,1952,2001,459,28.2,193,234,801,242,642,2098,1071
2013,36047038200,"Census Tract 382, Kings County, New York",2168,78,2090,1975,5154,18232,1953,2001,552,29.3,199,304,734,329,634,2090,1006
2014,36047038200,"Census Tract 382, Kings County, New York",2202,111,2091,2010,5550,16094,1953,2000,604,30.2,258,282,823,354,536,2091,1099
2015,36047038200,"Census Tract 382, Kings County, New York",2234,140,2094,2053,5675,NA,1954,2000,567,30.4,288,254,868,352,601,2094,1081
2016,36047038200,"Census Tract 382, Kings County, New York",2241,140,2101,2038,5527,18079,1956,1999,505,29.3,302,275,800,368,624,2101,954
2017,36047038200,"Census Tract 382, Kings County, New York",2252,118,2134,2057,5821,18868,1956,1999,502,30.1,228,189,856,409,710,2134,890
2018,36047038200,"Census Tract 382, Kings County, New York",2257,96,2161,2106,5970,18029,1956,2002,400,29.6,241,97,948,272,956,2161,997
2019,36047038200,"Census Tract 382, Kings County, New York",2259,63,2196,2145,5494,18099,1955,2003,432,31.2,294,97,890,422,849,2196,1002
2020,36047038200,"Census Tract 382, Kings County, New York",2173,39,2134,2077,5427,18202,1955,2004,423,30.9,324,46,881,332,886,2134,935
2012,36047038300,"Census Tract 383, Kings County, New York",1819,303,1516,967,2151,28933,1939,2005,1209,39.4,247,22,780,0,140,1516,239
2013,36047038300,"Census Tract 383, Kings County, New York",1829,287,1542,917,2109,28573,1939,2007,1184,39,232,28,822,0,81,1542,215
2014,36047038300,"Census Tract 383, Kings County, New York",1886,257,1629,1018,2479,30474,1939,2009,1293,43.2,328,36,867,0,152,1629,280
2015,36047038300,"Census Tract 383, Kings County, New York",1907,273,1634,1011,2488,29226,1939,2010,1321,43.9,291,33,876,0,139,1634,293
2016,36047038300,"Census Tract 383, Kings County, New York",1946,260,1686,1026,2279,32375,1939,2010,1394,37.5,324,105,822,10,103,1686,251
2017,36047038300,"Census Tract 383, Kings County, New York",1917,263,1654,1017,2508,38750,1939,2011,1403,36.2,362,144,754,46,103,1654,267
2018,36047038300,"Census Tract 383, Kings County, New York",1948,225,1723,1084,2581,42111,0,2011,1493,35.1,437,152,789,51,122,1723,262
2019,36047038300,"Census Tract 383, Kings County, New York",1954,227,1727,1079,2653,69051,0,2013,1677,31.8,437,194,731,90,64,1727,352
2020,36047038300,"Census Tract 383, Kings County, New York",2071,134,1937,1094,2416,69797,0,2016,1823,32.3,539,284,648,64,77,1937,367
2012,36047038500,"Census Tract 385, Kings County, New York",1692,381,1311,996,1920,27649,1939,2004,950,34.4,115,40,804,17,115,1311,352
2013,36047038500,"Census Tract 385, Kings County, New York",1682,371,1311,1016,2189,27308,1939,2005,1058,33.3,99,42,791,17,158,1311,380
2014,36047038500,"Census Tract 385, Kings County, New York",1677,289,1388,1035,2131,23472,1939,2007,1049,34.7,113,29,754,18,206,1388,396
2015,36047038500,"Census Tract 385, Kings County, New York",1676,321,1355,1009,2028,28674,1940,2008,1033,33.4,150,50,706,20,230,1355,355
2016,36047038500,"Census Tract 385, Kings County, New York",1615,296,1319,968,2314,31522,1949,2010,1195,34.1,243,96,659,20,185,1319,322
2017,36047038500,"Census Tract 385, Kings County, New York",1620,347,1273,948,2321,43750,1944,2010,1264,33.2,279,92,661,0,200,1273,288
2018,36047038500,"Census Tract 385, Kings County, New York",1670,353,1317,921,2270,58625,1944,2009,1515,31.7,328,111,583,16,204,1317,203
2019,36047038500,"Census Tract 385, Kings County, New York",1700,322,1378,963,2336,71978,1941,2009,1568,30.3,378,122,653,30,165,1378,156
2020,36047038500,"Census Tract 385, Kings County, New York",1721,196,1525,1102,2439,81079,0,2009,1468,24.2,586,126,665,23,268,1525,188
2012,36047038600,"Census Tract 386, Kings County, New York",1229,136,1093,498,1458,36591,1953,2005,1223,48.8,97,294,0,142,62,1093,217
2013,36047038600,"Census Tract 386, Kings County, New York",1283,87,1196,598,1727,31500,1942,2006,1212,44,139,313,0,151,134,1196,223
2014,36047038600,"Census Tract 386, Kings County, New York",1289,101,1188,520,1451,33879,1939,2007,1196,46.9,113,295,0,121,104,1188,181
2015,36047038600,"Census Tract 386, Kings County, New York",1289,89,1200,516,1569,27100,1947,2008,1167,50,117,281,0,91,144,1200,167
2016,36047038600,"Census Tract 386, Kings County, New York",1299,135,1164,523,1674,34395,1939,2009,1234,38,139,317,0,89,117,1164,175
2017,36047038600,"Census Tract 386, Kings County, New York",1297,179,1118,487,1620,42540,1939,2009,1385,36.6,121,323,0,51,104,1118,128
2018,36047038600,"Census Tract 386, Kings County, New York",1311,241,1070,417,1381,68657,0,2011,1474,31,148,318,0,47,24,1070,119
2019,36047038600,"Census Tract 386, Kings County, New York",1258,176,1082,451,1520,69476,0,2011,1449,29.8,211,301,0,73,55,1082,181
2020,36047038600,"Census Tract 386, Kings County, New York",1252,196,1056,534,1680,79708,0,2006,1615,24.6,216,283,0,99,132,1056,133
2012,36047038700,"Census Tract 387, Kings County, New York",1559,196,1363,1112,2710,26170,1939,2005,1129,44.2,154,41,822,41,274,1363,438
2013,36047038700,"Census Tract 387, Kings County, New York",1581,223,1358,1069,2552,25813,1939,2005,1162,47.8,88,84,729,52,298,1358,416
2014,36047038700,"Census Tract 387, Kings County, New York",1595,196,1399,1109,2803,27665,1939,2005,1012,39.9,144,79,770,49,249,1399,413
2015,36047038700,"Census Tract 387, Kings County, New York",1647,268,1379,999,2682,35139,1939,2005,1052,36.8,178,83,741,13,245,1379,316
2016,36047038700,"Census Tract 387, Kings County, New York",1699,278,1421,887,2403,38008,1939,2008,1213,36.2,195,112,693,9,173,1421,377
2017,36047038700,"Census Tract 387, Kings County, New York",1706,259,1447,995,2507,42036,1939,2008,1300,28.3,303,171,689,9,204,1447,310
2018,36047038700,"Census Tract 387, Kings County, New York",1754,284,1470,1068,2484,48404,1942,2010,1333,26.8,390,156,763,9,211,1470,286
2019,36047038700,"Census Tract 387, Kings County, New York",1771,304,1467,938,1938,49241,0,2012,1339,29.4,359,181,551,46,191,1467,302
2020,36047038700,"Census Tract 387, Kings County, New York",1674,221,1453,952,1941,54565,1941,2014,1639,28.9,390,232,489,42,178,1453,369
2012,36047038800,"Census Tract 388, Kings County, New York",1422,76,1346,658,1405,39583,1954,2001,1094,34.7,131,611,0,0,47,1346,218
2013,36047038800,"Census Tract 388, Kings County, New York",1495,83,1412,663,1377,42601,1954,2003,1213,34,199,569,12,0,82,1412,249
2014,36047038800,"Census Tract 388, Kings County, New York",1528,92,1436,737,1587,44391,1954,2003,1290,36.3,261,642,9,0,86,1436,257
2015,36047038800,"Census Tract 388, Kings County, New York",1520,76,1444,751,1731,47552,1953,2003,1321,31.5,308,594,39,12,106,1444,237
2016,36047038800,"Census Tract 388, Kings County, New York",1503,91,1412,809,1826,60512,1956,2004,1285,28,370,681,43,4,81,1412,224
2017,36047038800,"Census Tract 388, Kings County, New York",1527,85,1442,919,2289,55536,1955,2008,1478,30.5,416,665,86,70,98,1442,172
2018,36047038800,"Census Tract 388, Kings County, New York",1599,53,1546,1056,2703,57744,1953,2010,1481,32.1,456,731,93,99,133,1546,206
2019,36047038800,"Census Tract 388, Kings County, New York",1633,29,1604,1169,2917,59679,1954,2012,1400,28.4,457,773,181,111,104,1604,229
2020,36047038800,"Census Tract 388, Kings County, New York",1793,88,1705,1228,3110,65246,1955,2013,1431,27.8,465,776,154,97,165,1705,215
2012,36047038900,"Census Tract 389, Kings County, New York",1149,107,1042,755,1800,22019,1939,2005,1089,50,195,181,69,72,419,1042,408
2013,36047038900,"Census Tract 389, Kings County, New York",1171,99,1072,767,1867,23661,1939,2005,1034,47,186,199,45,56,450,1072,462
2014,36047038900,"Census Tract 389, Kings County, New York",1229,98,1131,740,1969,26231,1954,2007,1163,44.2,199,179,22,65,450,1131,414
2015,36047038900,"Census Tract 389, Kings County, New York",1223,71,1152,786,2040,41000,1939,2008,1286,36.8,233,201,46,73,466,1152,382
2016,36047038900,"Census Tract 389, Kings County, New York",1231,80,1151,763,1920,42228,1939,2009,1399,35.9,242,197,80,118,353,1151,368
2017,36047038900,"Census Tract 389, Kings County, New York",1190,81,1109,787,2115,49965,1951,2010,1567,29.8,306,262,62,130,322,1109,261
2018,36047038900,"Census Tract 389, Kings County, New York",1241,110,1131,821,2195,52583,1968,2011,1597,31.1,312,254,82,124,381,1131,211
2019,36047038900,"Census Tract 389, Kings County, New York",1288,150,1138,863,2044,67614,1962,2013,1758,31.1,362,324,89,95,344,1138,175
2020,36047038900,"Census Tract 389, Kings County, New York",1315,123,1192,852,2066,81745,1965,2016,2134,31.4,477,432,59,90,244,1192,105
2012,36047039000,"Census Tract 390, Kings County, New York",932,137,795,266,776,36875,1945,2003,1481,34.9,61,224,0,42,0,795,60
2013,36047039000,"Census Tract 390, Kings County, New York",937,138,799,257,698,33990,1947,2005,1154,34.2,73,214,0,43,0,799,75
2014,36047039000,"Census Tract 390, Kings County, New York",931,140,791,278,743,27065,1949,2006,1162,34.7,99,232,0,46,0,791,106
2015,36047039000,"Census Tract 390, Kings County, New York",895,107,788,276,789,25568,1951,2010,1350,50,88,246,0,12,18,788,148
2016,36047039000,"Census Tract 390, Kings County, New York",867,89,778,308,879,26667,1951,2011,1336,50,98,265,0,12,16,778,142
2017,36047039000,"Census Tract 390, Kings County, New York",866,120,746,268,834,47750,1948,2012,1354,29.8,72,236,0,0,17,746,117
2018,36047039000,"Census Tract 390, Kings County, New York",862,139,723,258,781,56500,1950,2012,1431,30.8,71,229,0,0,17,723,104
2019,36047039000,"Census Tract 390, Kings County, New York",891,128,763,293,877,55250,1948,2015,1416,29.8,81,228,0,0,51,763,119
2020,36047039000,"Census Tract 390, Kings County, New York",899,122,777,276,860,61579,1949,2014,1386,25,72,223,0,0,39,777,73
2012,36047039100,"Census Tract 391, Kings County, New York",944,37,907,707,2002,36964,2001,2005,1030,31.9,158,193,54,49,421,907,257
2013,36047039100,"Census Tract 391, Kings County, New York",1047,45,1002,822,2202,38143,2000,2005,1115,33.9,210,233,45,44,501,1002,261
2014,36047039100,"Census Tract 391, Kings County, New York",1072,41,1031,868,2613,32381,2001,2006,1115,40.4,224,180,157,27,537,1031,364
2015,36047039100,"Census Tract 391, Kings County, New York",1099,48,1051,964,2809,30682,1996,2007,1158,44.4,291,236,161,28,561,1051,408
2016,36047039100,"Census Tract 391, Kings County, New York",1157,31,1126,991,2774,35525,2000,2009,1202,41.1,341,253,192,46,556,1126,368
2017,36047039100,"Census Tract 391, Kings County, New York",1169,32,1137,988,2632,36848,1995,2011,1311,37,365,309,161,48,515,1137,304
2018,36047039100,"Census Tract 391, Kings County, New York",1181,57,1124,981,2377,37178,1998,2012,1308,33.5,395,331,184,62,447,1124,284
2019,36047039100,"Census Tract 391, Kings County, New York",1429,58,1371,1256,2910,70000,2002,2013,1249,30.5,581,438,101,127,571,1371,293
2020,36047039100,"Census Tract 391, Kings County, New York",1548,92,1456,1329,3219,85024,2006,2014,1542,28.3,684,440,105,157,592,1456,277
2012,36047039200,"Census Tract 392, Kings County, New York",1060,120,940,541,1045,32461,1939,2001,1059,44.4,207,392,38,56,55,940,92
2013,36047039200,"Census Tract 392, Kings County, New York",1025,133,892,530,1143,30814,1943,2002,1123,46.9,179,430,12,55,33,892,156
2014,36047039200,"Census Tract 392, Kings County, New York",1103,91,1012,633,1532,30871,1945,2004,1191,46.3,248,515,13,72,33,1012,209
2015,36047039200,"Census Tract 392, Kings County, New York",1104,82,1022,631,1568,35697,1950,2009,1240,45.8,262,509,16,73,33,1022,210
2016,36047039200,"Census Tract 392, Kings County, New York",1097,78,1019,718,2090,48750,1939,2011,1446,37.9,330,578,13,118,9,1019,262
2017,36047039200,"Census Tract 392, Kings County, New York",1100,101,999,644,1699,48409,1951,2011,1440,41.4,262,554,0,54,36,999,301
2018,36047039200,"Census Tract 392, Kings County, New York",1170,86,1084,669,1843,51577,0,2012,1480,38.5,261,576,0,50,43,1084,252
2019,36047039200,"Census Tract 392, Kings County, New York",1165,99,1066,641,1657,51006,0,2011,1438,34.8,240,562,0,41,38,1066,172
2020,36047039200,"Census Tract 392, Kings County, New York",1244,89,1155,815,2041,42114,1951,2011,1427,37,331,668,66,49,32,1155,207
2012,36047039300,"Census Tract 393, Kings County, New York",1376,230,1146,930,2416,45256,1939,2004,1334,31.6,227,185,318,0,463,1146,243
2013,36047039300,"Census Tract 393, Kings County, New York",1364,178,1186,898,2570,45000,1939,2005,1239,31.7,245,208,290,8,500,1186,255
2014,36047039300,"Census Tract 393, Kings County, New York",1393,155,1238,935,2538,50495,1939,2006,1180,29.7,303,220,341,7,549,1238,261
2015,36047039300,"Census Tract 393, Kings County, New York",1412,173,1239,988,2384,47222,1939,2009,1142,33.5,261,260,362,7,535,1239,298
2016,36047039300,"Census Tract 393, Kings County, New York",1452,144,1308,1019,2458,44269,1939,2011,1278,37.3,226,253,403,20,527,1308,353
2017,36047039300,"Census Tract 393, Kings County, New York",1483,142,1341,1013,2393,50313,1943,2011,1364,34.7,274,273,367,55,462,1341,308
2018,36047039300,"Census Tract 393, Kings County, New York",1575,109,1466,1180,2638,54150,1943,2012,1615,34.5,411,317,367,78,511,1466,350
2019,36047039300,"Census Tract 393, Kings County, New York",1636,149,1487,1121,2659,56734,1963,2013,1865,33.7,437,353,256,93,427,1487,376
2020,36047039300,"Census Tract 393, Kings County, New York",1600,113,1487,1082,2640,57955,1948,2014,2022,33.5,496,367,213,116,396,1487,383
2012,36047039400,"Census Tract 394, Kings County, New York",881,102,779,404,1084,40709,1939,2002,1101,32.5,52,339,0,6,28,779,57
2013,36047039400,"Census Tract 394, Kings County, New York",833,52,781,444,1219,40439,1939,2005,1264,34.8,94,373,0,4,35,781,66
2014,36047039400,"Census Tract 394, Kings County, New York",790,86,704,403,1126,40772,1939,2006,1309,35.8,91,341,0,8,19,704,76
2015,36047039400,"Census Tract 394, Kings County, New York",809,72,737,412,1286,42500,1939,2006,1412,37.5,118,324,0,8,44,737,78
2016,36047039400,"Census Tract 394, Kings County, New York",786,79,707,383,1173,44250,1939,2007,1405,34.7,132,309,0,14,57,707,89
2017,36047039400,"Census Tract 394, Kings County, New York",800,97,703,347,1110,44620,1939,2010,1431,35.5,119,246,14,12,52,703,130
2018,36047039400,"Census Tract 394, Kings County, New York",802,109,693,354,1180,44500,0,2008,1503,38.9,107,261,11,22,38,693,161
2019,36047039400,"Census Tract 394, Kings County, New York",829,132,697,321,1013,36908,0,2010,1439,51,93,225,12,14,45,697,186
2020,36047039400,"Census Tract 394, Kings County, New York",808,102,706,317,868,NA,0,2011,1325,51,91,227,14,19,28,706,226
2012,36047039500,"Census Tract 395, Kings County, New York",1407,231,1176,1053,3067,18906,1939,2004,1249,50,191,128,276,75,611,1176,562
2013,36047039500,"Census Tract 395, Kings County, New York",1392,203,1189,1064,3093,25526,1939,2004,1152,44.1,185,92,350,99,613,1189,495
2014,36047039500,"Census Tract 395, Kings County, New York",1386,161,1225,1070,3184,24479,1939,2006,1204,40.4,182,74,331,144,605,1225,498
2015,36047039500,"Census Tract 395, Kings County, New York",1366,204,1162,902,2727,27039,1939,2008,1185,39.9,130,126,258,76,505,1162,513
2016,36047039500,"Census Tract 395, Kings County, New York",1395,154,1241,1018,3346,41077,1939,2010,1238,34,180,173,310,123,482,1241,480
2017,36047039500,"Census Tract 395, Kings County, New York",1440,178,1262,1032,3375,43068,1939,2012,1296,31.5,256,205,335,136,414,1262,488
2018,36047039500,"Census Tract 395, Kings County, New York",1427,177,1250,995,2975,42245,0,2012,1423,31.5,273,281,268,94,341,1250,456
2019,36047039500,"Census Tract 395, Kings County, New York",1413,123,1290,1013,2834,51635,0,2014,1903,30.6,316,339,268,82,321,1290,391
2020,36047039500,"Census Tract 395, Kings County, New York",1776,82,1694,1434,3328,NA,0,2016,2012,35,491,668,341,81,342,1694,473
2012,36047039600,"Census Tract 396, Kings County, New York",786,82,704,328,832,29231,1939,2003,948,33.5,49,239,35,30,8,704,91
2013,36047039600,"Census Tract 396, Kings County, New York",801,106,695,339,768,30875,1939,2005,1151,38.4,80,301,0,4,28,695,83
2014,36047039600,"Census Tract 396, Kings County, New York",824,110,714,389,958,31250,1939,2008,1222,46.4,116,329,0,7,47,714,130
2015,36047039600,"Census Tract 396, Kings County, New York",806,97,709,408,1105,40955,1951,2010,1229,40.3,112,297,0,6,68,709,100
2016,36047039600,"Census Tract 396, Kings County, New York",853,124,729,439,1110,39728,1954,2012,1291,44.8,95,302,0,6,64,729,104
2017,36047039600,"Census Tract 396, Kings County, New York",838,138,700,450,1085,40342,1955,2012,1300,48.1,121,314,0,6,69,700,112
2018,36047039600,"Census Tract 396, Kings County, New York",849,120,729,456,1194,43617,1956,2013,1345,38.4,154,330,0,5,57,729,117
2019,36047039600,"Census Tract 396, Kings County, New York",819,153,666,389,1161,NA,1949,2013,1376,32.6,142,311,0,5,14,666,82
2020,36047039600,"Census Tract 396, Kings County, New York",811,164,647,383,1067,48750,1944,2013,1440,38.6,161,339,0,5,7,647,117
2012,36047039700,"Census Tract 397, Kings County, New York",1435,320,1115,887,2104,25048,1939,2004,1194,34.5,129,108,537,0,255,1115,306
2013,36047039700,"Census Tract 397, Kings County, New York",1471,247,1224,1026,2713,28529,1939,2005,1200,36.7,144,110,638,0,290,1224,358
2014,36047039700,"Census Tract 397, Kings County, New York",1432,232,1200,999,2483,29201,1939,2006,1220,40.8,208,158,575,0,271,1200,370
2015,36047039700,"Census Tract 397, Kings County, New York",1450,253,1197,941,2472,37621,1939,2007,1263,34.2,214,169,524,0,277,1197,347
2016,36047039700,"Census Tract 397, Kings County, New York",1480,211,1269,902,2289,36172,1939,2008,1323,36,263,192,528,0,267,1269,362
2017,36047039700,"Census Tract 397, Kings County, New York",1484,193,1291,946,2598,36371,1939,2011,1250,33.1,269,193,542,0,259,1291,411
2018,36047039700,"Census Tract 397, Kings County, New York",1506,210,1296,918,2205,31964,0,2012,1296,33.9,269,242,530,0,210,1296,406
2019,36047039700,"Census Tract 397, Kings County, New York",1586,212,1374,955,2327,41780,0,2013,1374,31.3,324,224,516,19,224,1374,355
2020,36047039700,"Census Tract 397, Kings County, New York",1569,216,1353,1021,2495,55121,0,2014,1666,30,367,296,505,18,256,1353,300
2012,36047039800,"Census Tract 398, Kings County, New York",898,90,808,405,1138,33403,1942,2003,1110,35.4,93,266,0,105,34,808,61
2013,36047039800,"Census Tract 398, Kings County, New York",917,102,815,396,1111,29188,1944,2003,1123,36.8,98,250,0,101,45,815,80
2014,36047039800,"Census Tract 398, Kings County, New York",960,94,866,448,1411,27667,1939,2006,1173,43.6,86,280,0,102,66,866,140
2015,36047039800,"Census Tract 398, Kings County, New York",938,65,873,411,1423,29612,1939,2010,1226,41.3,93,220,0,123,68,873,146
2016,36047039800,"Census Tract 398, Kings County, New York",943,46,897,436,1394,38452,1939,2010,1284,40.2,92,237,0,127,72,897,171
2017,36047039800,"Census Tract 398, Kings County, New York",895,37,858,392,1251,38636,1939,2011,1327,40.9,84,221,0,105,66,858,187
2018,36047039800,"Census Tract 398, Kings County, New York",908,41,867,396,1309,42159,0,2012,1363,32.8,104,193,0,108,83,867,204
2019,36047039800,"Census Tract 398, Kings County, New York",887,45,842,397,1436,70982,0,2014,1394,22.3,112,144,0,142,93,842,116
2020,36047039800,"Census Tract 398, Kings County, New York",844,53,791,378,1427,71976,0,2015,1461,25.2,86,122,0,125,82,791,100
2012,36047039900,"Census Tract 399, Kings County, New York",1493,176,1317,1089,3194,36107,1939,2004,897,23.4,146,36,526,0,558,1317,313
2013,36047039900,"Census Tract 399, Kings County, New York",1508,205,1303,1105,3217,31648,1939,2005,979,26.4,177,66,653,15,480,1303,392
2014,36047039900,"Census Tract 399, Kings County, New York",1516,231,1285,1137,3094,36298,1939,2006,1118,30.7,239,77,739,9,453,1285,373
2015,36047039900,"Census Tract 399, Kings County, New York",1540,268,1272,1115,2777,24821,1939,2005,1141,38.1,222,56,733,9,529,1272,411
2016,36047039900,"Census Tract 399, Kings County, New York",1516,150,1366,1240,3035,33456,1939,2006,1196,39.6,242,89,776,12,584,1366,441
2017,36047039900,"Census Tract 399, Kings County, New York",1517,100,1417,1275,3404,36979,1939,2009,1175,36.5,308,154,667,8,630,1417,452
2018,36047039900,"Census Tract 399, Kings County, New York",1524,131,1393,1221,3257,41853,0,2010,1217,35.2,315,173,564,0,629,1393,370
2019,36047039900,"Census Tract 399, Kings County, New York",1561,112,1449,1210,3116,43261,0,2012,1362,32.5,281,202,452,0,597,1449,391
2020,36047039900,"Census Tract 399, Kings County, New York",1764,94,1670,1411,3349,49653,0,2016,1319,29.6,333,249,508,0,780,1670,545
2012,36047040000,"Census Tract 400, Kings County, New York",1218,98,1120,683,1707,40657,1939,2003,1137,31.9,107,391,10,166,100,1120,191
