address,county_fips,boroid,censustract,census_tract,geoid,geoid_nyp
15900 RIVERSIDE DR WEST,061,1,247,024700,36061024700,36061024700
2790 BRAGG STREET,047,3,622,059800,36047059800,36047062200
8115 DONGAN AVENUE THE BEDROOM DIRECTLY,081,4,NA,048500,36081048500,NA
1777 MADISON AVNUE,061,1,NA,018400,36061018400,NA
366 DEVOE STREET WAREHOUSE,047,3,NA,048100,36047048100,NA
183339 WESTCHESTER AVENUE,NA,2,76,NA,36005007600,36005007600
156 EAST 178TH ST,005,2,23501,023501,36005023501,NA
10416 164 PLACE,081,4,254,025400,36081025400,NA
21818 HILLSIDE AVE,081,4,552,055200,36081055200,36081055200
356 WEIRFIELD STREET 2ND FLOOR,047,3,439,043900,36047043900,36047043900
7 HEGEMAN AVENUE,047,3,896,089600,36047089600,36047089600
265 A NASSAU AVENUE,047,3,589,058900,36047058900,NA
1700 ALBEMARLE RD,047,3,512,051200,36047051200,36047051200
7165 70TH STREET GROUND FLOOR ENTRANCE UNDER THE STOOP,081,4,NA,062500,36081062500,NA
2070 BERGEN AVENUE,047,3,69602,069602,36047069602,NA
2115 HUGHES AVENUE,005,2,373,037300,36005037300,36005037300
92 VILLAGE SOUTH ROA D,047,3,NA,039800,36047039800,NA
3479 SEYMOURE AVENUE,005,2,NA,038600,36005038600,NA
1829 EAST 14TH STREET,047,3,556,055600,36047055600,36047055600
100 EAST 111TH STREET,061,1,172,017200,36061017200,36061017200
970 PROSPECT AVENUE,005,2,12901,012901,36005012901,NA
1159 CARROLL STREET,047,3,321,032100,36047032100,36047032100
190 SCHAEFER STREET,047,3,411,041100,36047041100,36047041100
607 HOWARD AVENUE,047,3,900,090000,36047090000,36047090000
3015 PERRY AVENUE,005,2,415,041500,36005041500,36005041500
600 WEST 139TH STREET,061,1,225,022500,36061022500,36061022500
3662 WHITE PLAINS RO AD STREET LEVEL STORE B EAUTY STORE,NA,2,NA,NA,NA,NA
1115 FDR DR,NA,1,24,NA,36061002400,36061002400
647 CAULDWELL AVE,005,2,75,007500,36005007500,36005007500
2660 8TH AVENUE,061,1,230,023000,36061023000,36061023000
1370 ST MARKS AVE,047,3,359,035900,36047035900,36047035900
518 EAST 187TH STREET,005,2,387,038700,36005038700,36005038700
8740 165TH STREET,081,4,NA,044602,36081044602,NA
2476 CAMBRELENG AVE,005,2,389,038900,36005038900,36005038900
1710B FLUSHING AVEPORTION OF THE BSMT AS PER SKETCD,081,4,NA,053900,36081053900,NA
452 E 187TH STREET,005,2,385,038500,36005038500,36005038500
2698 8TH AVENUE,061,1,232,023200,36061023200,36061023200
611 BLAKE AVENUE,047,3,1156,115600,36047115600,36047115600
1295 5TH AVENUE,061,1,17402,017402,36061017402,NA
1327 SOUTHERN BLVD,005,2,123,012300,36005012300,36005012300
1340 STRATFORD AVE,005,2,62,006200,36005006200,36005006200
594 UNION AVENUE AKA 592 UNION AVENUE,005,2,79,007900,36005007900,36005007900
1215 FLATBUSH AVENUE,047,3,790,079000,36047079000,NA
381 VERMONT STREET,047,3,1158,115800,36047115800,36047115800
4309 40TH STREET,081,4,18101,018101,36081018101,NA
1519 METROPOLITAN AVE,005,2,21001,021001,36005021001,NA
680 BALCOM AVENUE,005,2,144,014400,36005014400,36005014400
2894 GRAND CONCOURSE,005,2,40702,040702,36005040702,NA
878 EAST 176TH ST,005,2,367,036700,36005036700,36005036700
17 VANDALIA AVENUE,047,3,105804,105804,36047105804,NA
1830 FIRST AVENUE,061,1,152,015200,36061015200,36061015200
18611 JAMAICA AVE,081,4,480,048000,36081048000,36081048000
1617 EASTERN PARKWAY EXTENSION,047,3,363,036300,36047036300,36047036300
236 WEST 135TH ST,061,1,228,022800,36061022800,36061022800
25831 147TH AVENUE 2ND FL APT CONSISTING OF 4 RMS IN LEGAL TWO FAMILY,081,4,NA,066000,36081066000,NA
1617 83RD STREET,047,3,182,018200,36047018200,36047018200
3078 34TH STREET,081,4,63,006300,36081006300,36081006300
5824 SPENCER AVENUE,005,2,345,034500,36005034500,36005034500
1806 AMSTERDAM AVENUE,061,1,233,023300,36061023300,36061023300
305 LINDEN BOULEVARD,047,3,818,081800,36047081800,36047081800
2237 81ST STREET,047,3,270,027000,36047027000,36047027000
377 MONTGOMERY ST,047,3,321,032100,36047032100,36047032100
162 WEST 165 STREET,005,2,189,018900,36005018900,36005018900
2321 ANDREWS AVENUE,005,2,255,025500,36005025500,36005025500
1407 CHANDLER ST APT 3C 3RD FLOOR,081,4,NA,103201,36081103201,NA
124 TAPSCOTT STREET APT #1R,047,3,900,090000,36047090000,36047090000
341 MARTENSE STREET,047,3,818,081800,36047081800,36047081800
960 SHERMAN AVENUE,005,2,18302,018302,36005018302,NA
11036 174TH ST,081,4,434,043400,36081043400,36081043400
318 DAVIS AVE,085,5,105,010500,36085010500,36085010500
1015 GRAND CONCOURSE,005,2,195,019500,36005019500,36005019500
1081 KELLY STREET,005,2,131,013100,36005013100,36005013100
4709 30TH STREET,081,4,199,019900,36081019900,NA
505 WEST 37TH STREET APT 22C,061,1,99,009900,36061009900,NA
9079 SUTPHIN BLVD,081,4,212,021200,36081021200,36081021200
290 JERSEY STREET,085,5,81,008100,36085008100,36085008100
34 HUNTERFLY PLACE,047,3,299,029900,36047029900,36047029900
606 EAST 187 STREET,005,2,391,039100,36005039100,36005039100
102 WEST 183RD ST,005,2,255,025500,36005025500,36005025500
364 93RD STREET,047,3,58,005800,36047005800,36047005800
272 STANLEY AVENUE,047,3,982,098200,36047098200,36047098200
2194 BARNES AVE,005,2,228,022800,36005022800,36005022800
1341 PROSPECT PLACE,047,3,345,034500,36047034500,36047034500
146 BEACH 59TH STREET,081,4,97202,097202,36081097202,NA
254 EAST 203RD STREET,005,2,413,041300,36005041300,36005041300
1415 LINDEN BLVD,NA,3,922,NA,36047092200,36047092200
2965 DECATUR AVENUE,005,2,415,041500,36005041500,36005041500
801 NEILL AVENUE,005,2,228,022800,36005022800,36005022800
2600 UNIVERSITY AVENUE,005,2,265,026500,36005026500,36005026500
617 E FORDHAM RD,005,2,397,039700,36005039700,36005039700
3707 147TH ST,081,4,1163,116300,36081116300,NA
71 POST AVENUE,061,1,291,029100,36061029100,36061029100
165 4TH AVENUE FIRST FLOOR,047,3,131,013100,36047013100,36047013100
9705 HORACE HARDING EXPWY,081,4,455,045500,36081045500,36081045500
234 EAST 95TH STREET,061,1,15601,015601,36061015601,NA
3919 AVENUE I,047,3,776,077600,36047077600,36047077600
15074 116TH ROAD MAIN HOME,081,4,NA,027200,36081027200,NA
354 49TH STREET,047,3,78,007800,36047007800,36047007800
2955 WEST 29TH STREET,047,3,342,034200,36047034200,36047034200
2155 MADISON AVE,061,1,210,021000,36061021000,36061021000
599 MANHATTAN AVENUE,047,3,569,056900,36047056900,36047056900
9067 51ST AVENUE,081,4,459,045900,36081045900,36081045900
226 BEACH 32ND STREET,081,4,992,099200,36081099200,36081099200
301 STERLING STREET,047,3,329,032900,36047032900,36047032900
36 METROPOLITAN OVAL,005,2,212,021200,36005021200,36005021200
603 LINDEN BLVD BASEMENT,047,3,NA,087200,36047087200,NA
3300 PALMER AVENUE,005,2,46202,046202,36005046202,NA
8332 159TH STREET,081,4,450,045000,36081045000,36081045000
352 BROOK AVENUE,005,2,41,004100,36005004100,36005004100
2850 CLAFLIN AVENUE,005,2,26702,026702,36005026702,NA
11829 201 PLACE,081,4,384,038400,36081038400,36081038400
325 CYPRESS AVENUE,005,2,33,003300,36005003300,36005003300
1921 AVENUE K,047,3,762,076200,36047076200,36047076200
4 VERONA STREET,047,3,59,005900,36047005900,36047005900
8105 4TH AVENUE,047,3,138,013800,36047013800,36047013800
2084 GRAND AVENUE,005,2,251,025100,36005025100,36005025100
2332 CRESTON AVE,005,2,23703,023703,36005023703,NA
265 SAND LANE FRONT LEFT BASEMENT,085,5,NA,007400,36085007400,NA
25 EAST 193RD STREET,005,2,401,040100,36005040100,36005040100
10702 CORONA AVENUE,081,4,439,043900,36081043900,36081043900
228 WEST 62ND STREET,NA,1,151,NA,NA,NA
340 ST JOHNS PLACE,047,3,215,021500,36047021500,36047021500
303 121 STREET,081,4,939,093900,36081093900,36081093900
1905 SECOND AVENUE,061,1,15602,015602,36061015602,NA
210 EAST 58TH STREET,061,1,108,010800,36061010800,NA
10309 101 AVESTORE BSMT,081,4,NA,011600,36081011600,NA
3405 NEWKIRK AVENUE,047,3,830,083000,36047083000,36047083000
1767 BEDFORD AVE,047,3,327,032700,36047032700,36047032700
346 EAST 120TH STREET,061,1,194,019400,36061019400,36061019400
2641 MARION AVENUE,005,2,40502,040502,36005040502,NA
1175 NELSON AVENUE,005,2,199,019900,36005019900,36005019900
665 WEST 160TH STREET,061,1,247,024700,36061024700,36061024700
1225 SHERMAN AVENUE,005,2,17901,017901,36005017901,NA
8701 SHORE ROAD,047,3,50,005000,36047005000,36047005000
121 MCKINLEY AVENUE,047,3,1190,119000,36047119000,36047119000
190 EAST 206TH STREET,005,2,413,041300,36005041300,36005041300
1705 ANDREWS AVENUE,005,2,21501,021501,36005021501,NA
595 ACADEMY STREET,061,1,291,029100,36061029100,36061029100
15 LEROY STREET,061,1,67,006700,36061006700,36061006700
2980 BRIGGS AVENUE,005,2,415,041500,36005041500,36005041500
2445 WALTON AVENUE,005,2,239,023900,36005023900,36005023900
686 BECK STREET,005,2,83,008300,36005008300,36005008300
2121 41ST AVENUE PORTION OF 2ND FLOOR AS SHOWN ONDIAGRAM ATTACHED TO,081,4,NA,003300,36081003300,NA
265 EAST 34TH STREET,047,3,856,085600,36047085600,36047085600
1091 GATES AVENUE,047,3,397,039700,36047039700,36047039700
2645 9TH STR 400 1 ROOM APARTMENT,081,4,NA,009100,36081009100,NA
5545 NETHERLAND AVE,005,2,323,032300,36005032300,36005032300
154 WEST 231ST STREET,005,2,277,027700,36005027700,36005027700
2323 STRAUSS STREET,047,3,896,089600,36047089600,36047089600
90 THOMPSON STREET BSMTAPT COMMON A,085,5,NA,002700,36085002700,NA
140 BENCHLEY PLACE,005,2,46201,046201,36005046201,NA
431 ESSEX STREET,047,3,1166,116600,36047116600,36047116600
52 WESTCHESTER SQUARE STREET LEVEL,005,2,NA,020000,36005020000,NA
402 LINWOOD STREET,047,3,1166,116600,36047116600,36047116600
2025 NOSTRAND AVENUE UNIT GROUND FLOOR STORE FRONT,047,3,NA,078600,36047078600,NA
13102 95TH AVE,081,4,150,015000,36081015000,36081015000
2323 WALTON AVENUE,005,2,239,023900,36005023900,36005023900
14712 110TH AVENUE ENTIRE 3RD FLR,081,4,NA,019600,36081019600,NA
2538 CONEY ISLAND AVENUE,047,3,392,039200,36047039200,36047039200
473 PENNSYLVANIA AVE,047,3,1126,112600,36047112600,36047112600
495 EAST 158TH ST,005,2,71,007100,36005007100,36005007100
1525 NELSON AVENUE,005,2,21301,021301,36005021301,NA
2153 CROPSEY AVENUE,047,3,292,029200,36047029200,36047029200
2015 UNIVERSITY AVENUE,005,2,24502,024502,36005024502,NA
1165 WASHINGTON AVENUE,005,2,145,014500,36005014500,36005014500
1718 GRAND AVENUE,005,2,217,021700,36005021700,36005021700
630 OCEAN AVENUE,047,3,51002,051002,36047051002,NA
414 E94TH STREET,047,3,886,088600,36047088600,36047088600
425 EAST 58TH STREET,061,1,10601,010601,36061010601,NA
491 EAST 162ND ST,005,2,141,014100,36005014100,36005014100
4033 69TH STREET,081,4,263,026300,36081026300,36081026300
54 ROCKAWAY PARKWAY,047,3,892,089200,36047089200,36047089200
1722 GREENE AVEELECTRIC METER ROOM,081,4,NA,054500,36081054500,NA
115 B WEST 168TH ST,005,2,211,021100,36005021100,36005021100
12230 ROCKAWAY BLVD,081,4,840,084000,36081084000,36081084000
1415 NEW YORK AVENUE,047,3,782,078200,36047078200,36047078200
3609 AVENUE S,047,3,654,065400,36047065400,36047065400
210 AVENUE C PARKING SPACE #A85,061,1,NA,002800,36061002800,NA
334 EASTERN PARKWAY,047,3,325,032500,36047032500,36047032500
106 INDIA STREET GRND FLOOR BSMT,047,3,NA,056500,36047056500,NA
10512 189 STREET,081,4,404,040400,36081040400,36081040400
647 ALBANY AVENUE,047,3,87401,087401,36047087401,NA
1490 BOSTON RD,005,2,153,015300,36005015300,36005015300
161 EAST 206TH ST,005,2,413,041300,36005041300,36005041300
2277 HOMECREST AVE,047,3,584,058400,36047058400,36047058400
1860 LAFAYETTE AVE,005,2,16,001600,36005001600,36005001600
599 E 7TH ST,047,3,490,049000,36047049000,36047049000
17431745 FULTON AVENUE,NA,2,165,NA,36005016500,36005016500
8068 CORNISH AVENUE,081,4,485,048500,36081048500,36081048500
2999 WEBSTER AVENUE,005,2,415,041500,36005041500,36005041500
259 AMBOY STREET,047,3,898,089800,36047089800,36047089800
1339 BROOKLYN AVENUE APTBASEMENT,047,3,NA,083200,36047083200,NA
107 OSGOOD AVE,085,5,29,002900,36085002900,36085002900
12252 SPRINGFIELD B LVD,081,4,NA,037600,36081037600,NA
2319 BEDFORD AVENUE,047,3,794,079400,36047079400,36047079400
4846 47TH ST,081,4,235,023500,36081023500,NA
2615 GRAND CONCOURSE,005,2,401,040100,36005040100,36005040100
727 E 136TH STREET,005,2,19,001900,36005001900,NA
2095 GRAND CONCOURSE,005,2,23501,023501,36005023501,NA
181 E 32ND STREET,047,3,826,082600,36047082600,36047082600
1629 GEORGE STREET,081,4,555,055500,36081055500,36081055500
314 E 201ST STREET,005,2,415,041500,36005041500,36005041500
6336 98TH PLACE,081,4,71701,071701,36081071701,NA
875 LONGFELOW AVE,005,2,NA,011502,36005011502,NA
965 COLLEGE AVENUE,005,2,173,017300,36005017300,36005017300
64 VAN SICKLEN ST,047,3,412,041200,36047041200,36047041200
70 NELSON STREET,047,3,59,005900,36047005900,36047005900
164 EAST 90TH STREET FRONT WESTERLY BASEMENT OFFICE AND BASEMENT REAR STORAGE ROOM,061,1,NA,014802,36061014802,NA
394 MONROE STREET,047,3,265,026500,36047026500,36047026500
879 LENOX ROAD APT A6,047,3,866,086600,36047086600,36047086600
562 MORRIS AVENUE,005,2,65,006500,36005006500,36005006500
1777 GRAND CONCOURSE,005,2,22701,022701,36005022701,NA
91416 BEDFORD AVESTORE,NA,3,NA,NA,NA,NA
761 EDISON AVENUE,005,2,162,016200,36005016200,36005016200
8714 129TH STREET,081,4,14201,014201,36081014201,NA
800 MADISON STREET,047,3,385,038500,36047038500,36047038500
3300 NORTHERN BLVD,081,4,171,017100,36081017100,NA
269 ALBANY AVENUE,047,3,339,033900,36047033900,36047033900
2594 42ND STREET,081,4,143,014300,36081014300,36081014300
751 EAST 224TH STREET,005,2,406,040600,36005040600,36005040600
1081 HANCOCK STREET,047,3,399,039900,36047039900,36047039900
794 MIDWOOD STREET,047,3,880,088000,36047088000,NA
7 HOLMES LANE,047,3,990,099000,36047099000,36047099000
3804 BAILEY AVENUE,005,2,279,027900,36005027900,36005027900
3610 NEPTUNE AVEAPT1 AKA BSMT,047,3,328,032800,36047032800,36047032800
550 WEST 153 STREET,061,1,237,023700,36061023700,36061023700
300 RIVERDALE AVENUE,047,3,918,091800,36047091800,36047091800
8711 107TH ST,081,4,12602,012602,36081012602,NA
863 MELROSE AVENUE,005,2,141,014100,36005014100,36005014100
10106 43RD AVENUE,081,4,407,040700,36081040700,NA
8922 88TH STREET,081,4,16,001600,36081001600,36081001600
2022 EAST KINGSBRIDGE ROAD,NA,2,401,NA,36005040100,36005040100
21455 JAMAICA AVENUE,081,4,542,054200,36081054200,36081054200
3800 CARPENTER AVE,005,2,392,039200,36005039200,36005039200
2 RECTOR STREET,061,1,13,001300,36061001300,36061001300
3247 81 STREET,081,4,327,032700,36081032700,36081032700
293244 BEACH CHANNEL DRIVE,NA,4,NA,NA,NA,NA
22 EAST 109TH STREET,061,1,17401,017401,36061017401,NA
770 FAILE STREET,005,2,117,011700,36005011700,NA
1061 INTERVALE AVE,005,2,131,013100,36005013100,36005013100
3235 GRAND CONCOURSE,005,2,411,041100,36005041100,36005041100
715 NOBLE AVE,005,2,20,002000,36005002000,NA
487 HALSEY STREET,047,3,295,029500,36047029500,36047029500
200 WEST 143RD ST,061,1,232,023200,36061023200,36061023200
4510 KISSENA BLVD,081,4,845,084500,36081084500,36081084500
1626 40TH STREET,047,3,478,047800,36047047800,36047047800
234 VAN PELT AVENUE ENTIRE HOUSE,085,5,NA,023100,36085023100,NA
121 EAST CLARKE PLACE,005,2,22102,022102,36005022102,NA
15611563 SECOND AVENUE,NA,1,138,NA,36061013800,36061013800
1323 LOUIS NINE BLVD,005,2,123,012300,36005012300,36005012300
4249 COLDEN STREET,081,4,79701,079701,36081079701,NA
1434 BEDFORD AVENUE,047,3,221,022100,36047022100,36047022100
929 EAST 86TH STREET,047,3,956,095600,36047095600,36047095600
21019 HILLSIDE AVE,081,4,492,049200,36081049200,NA
8 MONUMENT WALK,047,3,2901,002901,36047002901,NA
16420 WILLETS POINT BLVD,081,4,1017,101700,36081101700,36081101700
2407 VALENTINE AVENUE,005,2,23702,023702,36005023702,NA
403 HOWARD AVENUE APT#501,047,3,303,030300,36047030300,36047030300
1 EAST 213 STREET AK 3594 JEROME AVENUE,005,2,NA,043100,36005043100,NA
1041 E58TH STREET REAR BASEMENT APT,047,3,NA,072000,36047072000,NA
355 LEFFERTS AVENUE,047,3,329,032900,36047032900,36047032900
9919 43RD AVENUE,081,4,407,040700,36081040700,NA
810 27TH AVENUE,081,4,83,008300,36081008300,36081008300
803 WEST 180TH ST,061,1,265,026500,36061026500,36061026500
521 HUDSON STREET AKA 523A HUDSON STREET,061,1,75,007500,36061007500,36061007500
133 EAST 73RD STREET GROUND FLOOR STORE,061,1,NA,012800,36061012800,NA
2045 24 ST,081,4,NA,010500,36081010500,NA
2 JARDINE PLACE,047,3,367,036700,36047036700,36047036700
459 EAST 92ND STREET,047,3,888,088800,36047088800,36047088800
65 MILFORD STREET,047,3,1192,119200,36047119200,36047119200
14416 35TH AVENUE,081,4,1163,116300,36081116300,NA
4804 AVENUE O,047,3,672,067200,36047067200,36047067200
3112 BROADWAY GRND FL STORE BSMT,081,4,NA,005900,36081005900,NA
3995 HILLMAN AVENUE,005,2,281,028100,36005028100,36005028100
12023 LIBERTY AVENUE,081,4,15802,015802,36081015802,NA
2125 PACIFIC STREET,047,3,303,030300,36047030300,36047030300
1666 BELL BOULEVARD,081,4,99704,099704,36081099704,NA
1730 ANDREWS AVENUE,005,2,21501,021501,36005021501,NA
672 LINWOOD STREET,047,3,1164,116400,36047116400,36047116400
234238 CANAL STREET STORE 103A ON THE FIRST FL ASDIAGRAM ANNEXED,NA,1,NA,NA,NA,NA
8675 MIDLAND PARKWAY,081,4,466,046600,36081046600,36081046600
2265 BASSFORD AVE,005,2,385,038500,36005038500,36005038500
13901 232ND STREET,081,4,650,065000,36081065000,36081065000
9549 115TH STREET,081,4,120,012000,36081012000,36081012000
305315 EAST 86TH ST,NA,1,14602,NA,NA,NA
482 EAST 167 STREET,005,2,185,018500,36005018500,NA
2716 41ST AVENUE,081,4,33,003300,36081003300,NA
1408 NEW YORK AVENUE,047,3,788,078800,36047078800,NA
1055 EAST 230TH ST UNIT 1,005,2,424,042400,36005042400,36005042400
62 EAST 182ND ST,005,2,239,023900,36005023900,36005023900
927929 COURTLANDT AVE,NA,2,143,NA,36005014300,36005014300
168170 DECATUR ST,NA,3,273,NA,36047027300,36047027300
1722 UNION STREET,047,3,349,034900,36047034900,NA
1066 FLATBUSH AVENUE GROUND FLOOR STORE AND BASEMENCOLLECTIVELY PREMIS,047,3,NA,051400,36047051400,NA
165 E 112TH STREET,061,1,182,018200,36061018200,36061018200
344348 WEST 38TH STREET,NA,1,111,NA,36061011100,36061011100
1064 CARROLL PLACE,005,2,18102,018102,36005018102,NA
12018 91ST AVENUE,081,4,144,014400,36081014400,36081014400
216 E 28TH ST,061,1,66,006600,36061006600,36061006600
3608 29TH STREET,081,4,51,005100,36081005100,36081005100
2601 HALPERIN AVEAKA 2605 HALPERIN AVPREMISES,005,2,200,020000,36005020000,36005020000
14104 PERSHING CRES,081,4,22002,022002,36081022002,NA
3007 THIRD AVE,005,2,67,006700,36005006700,36005006700
1130 ANDERSON AVENUE,005,2,199,019900,36005019900,36005019900
7418 5TH AVENUE,047,3,134,013400,36047013400,36047013400
1040 MCBRIDE STREET,NA,4,100802,NA,NA,NA
4308 28TH AVEAPT # 19,081,4,NA,014700,36081014700,NA
225 PARKSIDE AVE,047,3,79802,079802,36047079802,NA
1964 NOSTRAND AVE,047,3,788,078800,36047078800,NA
9826 64TH AVENUE,081,4,71304,071304,36081071304,NA
1944 ADAM CLAYTON PWLL BLVD STORE,NA,1,NA,NA,NA,NA
3479 MICKLE AVENUE,005,2,386,038600,36005038600,36005038600
2419 CAMBRELENG AVENUE,005,2,389,038900,36005038900,36005038900
1727 STEPHEN STREET,081,4,555,055500,36081055500,36081055500
270 E BURNSIDE AVE,005,2,381,038100,36005038100,36005038100
542 W 162ND STREET APT 1B,061,1,245,024500,36061024500,36061024500
671 WEST 193 STREET,061,1,283,028300,36061028300,36061028300
1719 CORSON AVENUE,NA,5,11,NA,36085001100,36085001100
303 E 158TH ST,005,2,69,006900,36005006900,36005006900
1663 MADISON AVENUE,061,1,17402,017402,36061017402,NA
1173 FULTON STREET,047,3,227,022700,36047022700,36047022700
2755 MORRIS AVENUE,005,2,40303,040303,36005040303,NA
40 WMOSHOLU PARKWAY SOUTH,005,2,409,040900,36005040900,36005040900
425 WEST 25TH ST,061,1,93,009300,36061009300,36061009300
6709 MAIN STREET AK A 6729 MAIN STREET,081,4,809,080900,36081080900,36081080900
2186 FIFTH AVE,061,1,212,021200,36061021200,36061021200
2931 EIGHTH AVENUE,061,1,24302,024302,36061024302,NA
1755 TAYLOR AVENUE,005,2,240,024000,36005024000,36005024000
335 EAST 29TH STREET APT 1ST FLOOR,047,3,NA,082800,36047082800,NA
233 WEST 16TH STREET,061,1,81,008100,36061008100,36061008100
3311 SHORE PARKWAY,047,3,606,060600,36047060600,36047060600
5550 NETHERLAND AVE,005,2,323,032300,36005032300,36005032300
10849 GUY R BREWER BLVD,081,4,258,025800,36081025800,36081025800
3144 DECATUR AVE,005,2,425,042500,36005042500,36005042500
77 POST LANE,085,5,31902,031902,36085031902,NA
278 EAST 239 STREET,005,2,44902,044902,36005044902,NA
496 EAST 189TH STREET,005,2,387,038700,36005038700,36005038700
2030 ELK DRIVE,081,4,99801,099801,36081099801,NA
826 EAST 214TH STREET,005,2,380,038000,36005038000,36005038000
254 WEST 125TH ST,061,1,222,022200,36061022200,36061022200
654 SHARROTTS RD LEFT SIDE OF BLDG,085,5,NA,022600,36085022600,NA
45 WEST 139TH STREET,061,1,214,021400,36061021400,36061021400
1505 MACOMBS ROAD,005,2,21302,021302,36005021302,NA
914 COLUMBUS AVENUE,061,1,189,018900,36061018900,36061018900
251 SHERMAN AVE,061,1,293,029300,36061029300,36061029300
71 W 47TH STREET,061,1,96,009600,36061009600,36061009600
238 SCHENECTADY AVE,047,3,353,035300,36047035300,NA
8402 143RD STREET,081,4,232,023200,36081023200,36081023200
165 ST MARKS PLACE,085,5,7,000700,36085000700,36085000700
3318 PERRY AVENUE,005,2,42902,042902,36005042902,NA
793 VERMONT STREET,047,3,1104,110400,36047110400,36047110400
317 EAST 150TH ST,005,2,65,006500,36005006500,36005006500
516 EAST 51ST STREET,047,3,862,086200,36047086200,36047086200
1408 EAST 103RD ST,047,3,1020,102000,36047102000,36047102000
10 MAPLE STREET,047,3,79801,079801,36047079801,NA
24507 149TH DR,081,4,664,066400,36081066400,NA
690 EAST 138TH STREET,005,2,2702,002702,36005002702,NA
500 WEST 144TH STREET,061,1,229,022900,36061022900,36061022900
7985 FAIRVIEW AVENUE,061,1,283,028300,36061028300,36061028300
3560 ROCHAMBEAU AVENUE,005,2,431,043100,36005043100,NA
13410 101 AVEAPT 1,081,4,152,015200,36081015200,36081015200
3005 EASTCHESTER ROA D,005,2,358,035800,36005035800,36005035800
2101 FLATBUSH AVENUE UNIT COMML SPACE,047,3,NA,065000,36047065000,NA
1330 INTERVALE AVE,005,2,123,012300,36005012300,36005012300
2163 2ND AVENUE,061,1,180,018000,36061018000,36061018000
1905 59TH STREET,047,3,468,046800,36047046800,36047046800
244 RIVERSIDE DRIVE,061,1,183,018300,36061018300,36061018300
39 EAST 1ST STREET,061,1,3602,003602,36061003602,NA
5714 6TH AVENUE,047,3,102,010200,36047010200,36047010200
22410 JAMAICA AVE,081,4,568,056800,36081056800,36081056800
1045 STERLING PLACE,047,3,341,034100,36047034100,36047034100
2130 EAST TREMONT AVENUE,005,2,21001,021001,36005021001,NA
14930 83RD STREET,081,4,6202,006202,36081006202,NA
1640 OCEAN PARKWAY,047,3,422,042200,36047042200,36047042200
729 UNION AVENUE,005,2,79,007900,36005007900,36005007900
1746 PRESIDENT ST,047,3,349,034900,36047034900,NA
750 LEFFERTS AVENUE,047,3,876,087600,36047087600,36047087600
11414 SPRINGFIELD BLVD,081,4,53401,053401,36081053401,NA
882 BRYANT AVENUE,005,2,11502,011502,36005011502,NA
1433 NOSTRAND AVENUE,047,3,818,081800,36047081800,36047081800
2178 ATLANTIC AVE,047,3,303,030300,36047030300,36047030300
21817 JAMAICA AVE2ND FLOOR,081,4,566,056600,36081056600,36081056600
1253 FRANKLIN AVENUE,005,2,149,014900,36005014900,36005014900
125 OCEAN AVENUE,047,3,79802,079802,36047079802,NA
420 THIERIOT AVENUE,005,2,2,000200,36005000200,36005000200
50 WEST 132ND STREET,061,1,208,020800,36061020800,36061020800
2349 ANDREWS AVENUE NORTH,005,2,255,025500,36005025500,36005025500
1501 UNDERCLIFF AVE,005,2,20501,020501,36005020501,NA
2244 BRONX PARK EAST,005,2,33201,033201,36005033201,NA
81 WADSWORTH TERRACE,061,1,279,027900,36061027900,36061027900
515 MADISON AVENUE,061,1,102,010200,36061010200,36061010200
795 DEKALB AVENUE,047,3,261,026100,36047026100,36047026100
1189 SHERIDAN AVENUE,005,2,18102,018102,36005018102,NA
19038 B 69TH AVENUE UNIT 3A,081,4,1347,134700,36081134700,NA
2710 MORRIS AVENUE,005,2,40304,040304,36005040304,NA
4412 ROCKAWAY BEA CH BOULEVARD,NA,4,NA,NA,NA,NA
1655 UNDERCLIFF AVE,005,2,20501,020501,36005020501,NA
1075 NELSON AVENUE,005,2,193,019300,36005019300,36005019300
710 LOGAN STREET,047,3,1118,111800,36047111800,36047111800
3121 MIDDLETOWN ROAD,005,2,26602,026602,36005026602,NA
2 TUDOR CITY PLACE,061,1,88,008800,36061008800,36061008800
2899 KINGSBRIDGE TER RACE,005,2,NA,027300,36005027300,NA
206 WEST 140TH ST,061,1,230,023000,36061023000,36061023000
3517 FLATLANDS AVENU,047,3,746,074600,36047074600,36047074600
1960 CONEY ISLAND AVENUE,047,3,420,042000,36047042000,36047042000
182 BEACH 27 STREET,NA,4,99802,NA,NA,NA
2991 EIGHTH AVE,061,1,24302,024302,36061024302,NA
9416 114TH STREET UNIT 1,081,4,118,011800,36081011800,36081011800
13842 90TH AVE,081,4,212,021200,36081021200,36081021200
2078 CROPSEY AVENUE,047,3,286,028600,36047028600,36047028600
848 EAST 214TH STREET,005,2,380,038000,36005038000,36005038000
350 E 143RD STREET,005,2,41,004100,36005004100,36005004100
1008 RUTLAND ROAD,047,3,884,088400,36047088400,36047088400
85 EAST MOSHOLU PARK WAY N,005,2,NA,041900,36005041900,NA
8545 115 STREET,081,4,132,013200,36081013200,36081013200
1036 INTERVALE AVENUE,005,2,131,013100,36005013100,36005013100
2928 JEROME AVENUE,005,2,40701,040701,36005040701,NA
3220 RADCLIFF AVENUE,005,2,370,037000,36005037000,36005037000
427 63RD STREET,047,3,122,012200,36047012200,36047012200
